timestamp,intervention_id,equipement_id,type_equipement,marque,modele,type_maintenance,severite,vie_restante,prediction_panne,cout_estime,technicien,batiment,salle,zone,description,composants_affectes,historique_pannes,duree_intervention_estimee,pieces_requises
2025-11-14 17:10:30,INT-20251208-028,EQP_1737,Alarme,Schneider,MOD-540,corrective,faible,51,faible,2898.39,TECH-049,Batiment C,Salle 19,Zone Est,Maintenance corrective programmée,ventilateur,8,1,aucune
2025-11-26 03:14:00,INT-20251208-029,EQP_2498,Ascenseur,Carrier,MOD-872,preventive,critique,52,faible,7202.47,TECH-047,Batiment D,Salle 5,Zone Est,Maintenance préventive programmée,circuit,1,6,aucune
2025-12-06 20:27:43,INT-20251208-030,EQP_4211,Ascenseur,Siemens,MOD-771,preventive,critique,58,faible,13632.35,TECH-039,Batiment C,Salle 15,Zone Est,Maintenance préventive programmée,ventilateur,9,8,joints
2025-10-17 05:09:21,INT-20251208-031,EQP_9955,Eclairage,Schneider,MOD-539,preventive,faible,37,moyen,6769.49,TECH-034,Batiment D,Salle 9,Zone Nord,Maintenance préventive programmée,circuit,1,7,filtres
2025-11-22 06:52:18,INT-20251208-032,EQP_6169,CVC,Carrier,MOD-626,preventive,critique,47,moyen,13095.76,TECH-028,Batiment D,Salle 39,Zone Nord,Maintenance corrective programmée,compresseur,6,3,aucune
2025-12-07 21:23:39,INT-20251208-033,EQP_5759,CVC,ABB,MOD-465,corrective,moyenne,55,faible,9885.16,TECH-028,Batiment A,Salle 23,Zone Nord,Maintenance corrective programmée,ventilateur,6,2,filtres
2025-11-13 15:05:55,INT-20251208-034,EQP_7870,Pompe,Honeywell,MOD-558,predictive,faible,48,moyen,7444.95,TECH-012,Batiment D,Salle 49,Zone Nord,Maintenance corrective programmée,ventilateur,6,8,aucune
2025-10-15 06:01:12,INT-20251208-035,EQP_4641,Pompe,ABB,MOD-800,corrective,critique,90,moyen,1102.3,TECH-008,Batiment D,Salle 37,Zone Centrale,Maintenance préventive programmée,compresseur,4,8,joints
2025-10-23 21:08:32,INT-20251208-036,EQP_8331,Generateur,Honeywell,MOD-385,corrective,faible,64,faible,7234.41,TECH-007,Batiment C,Salle 8,Zone Nord,Maintenance corrective programmée,moteur,0,1,courroies
2025-12-03 16:59:40,INT-20251208-037,EQP_1194,CVC,ABB,MOD-436,corrective,moyenne,61,eleve,5094.74,TECH-047,Batiment C,Salle 21,Zone Est,Maintenance corrective programmée,moteur,4,4,roulements
2025-10-26 06:53:18,INT-20251208-038,EQP_9534,Eclairage,Siemens,MOD-838,preventive,faible,64,eleve,1704.38,TECH-050,Batiment C,Salle 40,Zone Ouest,Maintenance corrective programmée,compresseur,4,8,aucune
2025-10-27 15:44:47,INT-20251208-039,EQP_9523,Alarme,Siemens,MOD-415,preventive,critique,44,faible,6618.14,TECH-008,Batiment C,Salle 29,Zone Nord,Maintenance préventive programmée,pompe,4,1,filtres
2025-10-31 21:12:56,INT-20251208-040,EQP_7167,Pompe,Carrier,MOD-391,preventive,moyenne,81,moyen,4645.26,TECH-030,Batiment A,Salle 33,Zone Ouest,Maintenance corrective programmée,circuit,3,5,joints
2025-11-05 16:09:13,INT-20251208-041,EQP_3615,Alarme,ABB,MOD-215,predictive,moyenne,54,moyen,1591.6,TECH-035,Batiment A,Salle 41,Zone Sud,Maintenance préventive programmée,circuit,10,2,courroies
2025-10-29 00:29:58,INT-20251208-042,EQP_2342,CVC,ABB,MOD-953,corrective,moyenne,42,faible,13208.21,TECH-016,Batiment A,Salle 37,Zone Centrale,Maintenance corrective programmée,circuit,0,5,aucune
2025-11-20 04:30:14,INT-20251208-043,EQP_9659,CVC,Daikin,MOD-551,preventive,moyenne,44,moyen,14353.2,TECH-016,Batiment D,Salle 15,Zone Est,Maintenance préventive programmée,circuit,6,3,roulements
2025-10-25 01:50:56,INT-20251208-044,EQP_9722,Pompe,Siemens,MOD-155,preventive,critique,86,eleve,8430.62,TECH-011,Batiment C,Salle 46,Zone Nord,Maintenance préventive programmée,ventilateur,5,1,joints
2025-10-18 08:50:28,INT-20251208-045,EQP_4176,Alarme,ABB,MOD-373,corrective,critique,77,eleve,8868.85,TECH-012,Batiment B,Salle 47,Zone Sud,Maintenance corrective programmée,moteur,1,4,courroies
2025-10-15 11:25:29,INT-20251208-046,EQP_1728,Generateur,Siemens,MOD-224,predictive,moyenne,18,faible,13294.24,TECH-018,Batiment D,Salle 15,Zone Ouest,Maintenance corrective programmée,ventilateur,4,8,aucune
2025-10-28 23:48:19,INT-20251208-047,EQP_4918,CVC,Daikin,MOD-509,predictive,moyenne,42,moyen,2841.17,TECH-018,Batiment B,Salle 39,Zone Centrale,Maintenance préventive programmée,pompe,4,7,joints
2025-12-03 07:16:58,INT-20251208-048,EQP_9651,Generateur,Schneider,MOD-173,corrective,moyenne,85,faible,5372.36,TECH-036,Batiment B,Salle 5,Zone Nord,Maintenance corrective programmée,moteur,5,2,courroies
2025-11-06 16:22:50,INT-20251208-049,EQP_1587,Ascenseur,Carrier,MOD-991,predictive,critique,14,moyen,5574.27,TECH-006,Batiment B,Salle 16,Zone Nord,Maintenance corrective programmée,compresseur,6,2,filtres
2025-10-23 22:19:59,INT-20251208-050,EQP_4228,Pompe,Daikin,MOD-775,corrective,moyenne,50,faible,13062.55,TECH-015,Batiment D,Salle 4,Zone Est,Maintenance corrective programmée,pompe,8,5,roulements
2025-11-28 21:07:25,INT-20251208-051,EQP_2146,Alarme,Daikin,MOD-829,corrective,critique,70,eleve,3976.57,TECH-004,Batiment A,Salle 37,Zone Sud,Maintenance corrective programmée,ventilateur,10,6,roulements
2025-11-19 14:14:27,INT-20251208-052,EQP_1268,Alarme,Schneider,MOD-577,preventive,moyenne,25,eleve,6426.47,TECH-005,Batiment C,Salle 10,Zone Sud,Maintenance corrective programmée,pompe,1,4,courroies
2025-11-07 20:24:24,INT-20251208-053,EQP_6737,Alarme,Siemens,MOD-199,corrective,critique,25,faible,9910.55,TECH-048,Batiment B,Salle 28,Zone Sud,Maintenance corrective programmée,compresseur,8,8,filtres
2025-11-13 06:01:33,INT-20251208-054,EQP_4415,CVC,Honeywell,MOD-216,preventive,faible,38,faible,8984.71,TECH-025,Batiment C,Salle 42,Zone Ouest,Maintenance corrective programmée,ventilateur,10,3,courroies
2025-12-06 22:25:33,INT-20251208-055,EQP_2577,Eclairage,Carrier,MOD-166,preventive,faible,25,eleve,7594.25,TECH-025,Batiment D,Salle 13,Zone Est,Maintenance corrective programmée,pompe,9,8,roulements
2025-10-30 23:49:04,INT-20251208-056,EQP_7607,Generateur,ABB,MOD-277,predictive,faible,90,eleve,8712.22,TECH-013,Batiment D,Salle 14,Zone Ouest,Maintenance préventive programmée,circuit,3,3,roulements
2025-11-19 12:31:44,INT-20251208-057,EQP_5319,Eclairage,Schneider,MOD-380,preventive,faible,79,moyen,8990.65,TECH-031,Batiment D,Salle 5,Zone Nord,Maintenance corrective programmée,ventilateur,6,3,aucune
